Owner,"Organization (O from Issuer Field)","Organizational Unit (OU from Issuer Field)",Common Name or Certificate Name,SHA1 Fingerprint,"Valid From (GMT)","Valid To (GMT)",Modulus,Signature Algorithm,Trust Bits,"EV Policy OID","Approval Bug","Release When First Included",URL to Test Website,Company Website,Certificate Policy (CP),Certification Practice Statement (CPS),Audit,Baseline Requirements Audit,EV Audit,Auditor,Audit Criteria,Audit Statement Date,Comments
Comodo,AddTrust AB,AddTrust TTP Network,AddTrust Public CA Root,2A:B6:28:48:5E:78:FB:F3:AD:9E:79:10:DD:6B:DF:99:72:2C:96:E5,5/30/2000,5/30/2020,2048,SHA-1,"Websites Email Code",Not EV,legacy,Firefox 1,https://addtrustpubliccaroot.comodoca.com/,http://www.comodo.com/,http://www.comodo.com/about/comodo-agreements.php,http://www.comodo.com/about/comodo-agreements.php,https://cert.webtrust.org/SealFile?seal=1743&file=pdf,https://cert.webtrust.org/SealFile?seal=1742&file=pdf,,Ernst & Young,WebTrust,2014.09.10,
Comodo,AddTrust AB,AddTrust TTP Network,AddTrust Qualified CA Root,4D:23:78:EC:91:95:39:B5:00:7F:75:8F:03:3B:21:1E:C5:4D:8B:CF,5/30/2000,5/30/2020,2048,SHA-1,"Websites Email Code",Not EV,legacy,Firefox 1,https://addtrustqualifiedcaroot.comodoca.com/,http://www.comodo.com/,http://www.comodo.com/about/comodo-agreements.php,http://www.comodo.com/about/comodo-agreements.php,https://cert.webtrust.org/SealFile?seal=1743&file=pdf,https://cert.webtrust.org/SealFile?seal=1742&file=pdf,,Ernst & Young,WebTrust,2014.09.10,
Comodo,AddTrust AB,AddTrust TTP Network,AddTrust Class 1 CA Root,CC:AB:0E:A0:4C:23:01:D6:69:7B:DD:37:9F:CD:12:EB:24:E3:94:9D,5/30/2000,5/30/2020,2048,SHA-1,"Websites Email",Not EV,legacy,Firefox 1,https://addtrustclass1caroot.comodoca.com/,http://www.comodo.com/,http://www.comodo.com/about/comodo-agreements.php,http://www.comodo.com/about/comodo-agreements.php,https://cert.webtrust.org/SealFile?seal=1743&file=pdf,https://cert.webtrust.org/SealFile?seal=1742&file=pdf,,Ernst & Young,WebTrust,2014.09.10,
Comodo,AddTrust AB,AddTrust External TTP Network,AddTrust External CA Root,02:FA:F3:E2:91:43:54:68:60:78:57:69:4D:F5:E4:5B:68:85:18:68,5/30/2000,5/30/2020,2048,SHA-1,"Websites Email Code",1.3.6.1.4.1.6449.1.2.1.5.1,legacy,Firefox 1,https://addtrustexternalcaroot-ev.comodoca.com/,http://www.comodo.com/,http://www.comodo.com/about/comodo-agreements.php,http://www.comodo.com/about/comodo-agreements.php,https://cert.webtrust.org/SealFile?seal=1743&file=pdf,https://cert.webtrust.org/SealFile?seal=1742&file=pdf,https://cert.webtrust.org/SealFile?seal=1746&file=pdf,Ernst & Young,WebTrust,2014.09.10,
Comodo,AddTrust AB,AddTrust External TTP Network,USERTrust Legacy Secure Server CA,7C:2F:91:E2:BB:96:68:A9:C6:F6:BD:10:19:2C:6B:52:5A:1B:BA:48,8/5/2014,11/1/2015,2048,SHA-1,,Not EV,https://bugzilla.mozilla.org/show_bug.cgi?id=1045189#c7,"NSS 3.16.4, Firefox 32",No longer issuing SSL certs.,http://www.comodo.com/,http://www.comodo.com/about/comodo-agreements.php,http://www.comodo.com/about/comodo-agreements.php,https://cert.webtrust.org/SealFile?seal=1743&file=pdf,https://cert.webtrust.org/SealFile?seal=1742&file=pdf,,Ernst & Young,WebTrust,2014.09.10,This cross-signed intermediate certificate was included to help with the migration off of 1024-bit roots.
Trend Micro,AffirmTrust,,AffirmTrust Commercial,F9:B5:B6:32:45:5F:9C:BE:EC:57:5F:80:DC:E9:6E:2C:C7:B2:78:B7,1/29/2010,12/31/2030,2048,SHA-256,Websites,1.3.6.1.4.1.34697.2.1,https://bugzilla.mozilla.org/show_bug.cgi?id=543639,"NSS 3.12.10, Firefox 6.0",https://commercial.affirmtrust.com/,http://webappsecurity.trendmicro.com/,http://webappsecurity.trendmicro.com/resources/,http://webappsecurity.trendmicro.com/resources/,http://www.trendmicro.com/us/enterprise/cloud-solutions/deep-security/web-applications/index.html#resources--legal,http://www.trendmicro.com/us/enterprise/cloud-solutions/deep-security/web-applications/index.html#resources--legal,http://www.trendmicro.com/us/enterprise/cloud-solutions/deep-security/web-applications/index.html#resources--legal,Grant Thornton,WebTrust,2014.06.30,
Trend Micro,AffirmTrust,,AffirmTrust Premium,D8:A6:33:2C:E0:03:6F:B1:85:F6:63:4F:7D:6A:06:65:26:32:28:27,1/29/2010,12/31/2040,4096,SHA-384,Websites,1.3.6.1.4.1.34697.2.3,https://bugzilla.mozilla.org/show_bug.cgi?id=543639,"NSS 3.12.10, Firefox 6.0",https://premium.affirmtrust.com:4432/,http://webappsecurity.trendmicro.com/,http://webappsecurity.trendmicro.com/resources/,http://webappsecurity.trendmicro.com/resources/,http://www.trendmicro.com/us/enterprise/cloud-solutions/deep-security/web-applications/index.html#resources--legal,http://www.trendmicro.com/us/enterprise/cloud-solutions/deep-security/web-applications/index.html#resources--legal,http://www.trendmicro.com/us/enterprise/cloud-solutions/deep-security/web-applications/index.html#resources--legal,Grant Thornton,WebTrust,2014.06.30,
Trend Micro,AffirmTrust,,AffirmTrust Premium ECC,B8:23:6B:00:2F:1D:16:86:53:01:55:6C:11:A4:37:CA:EB:FF:C3:BB,1/29/2010,12/31/2040,ECC,ECC,Websites,1.3.6.1.4.1.34697.2.4,https://bugzilla.mozilla.org/show_bug.cgi?id=543639,"NSS 3.12.10, Firefox 6.0",https://premiumecc.affirmtrust.com:4433/,http://webappsecurity.trendmicro.com/,http://webappsecurity.trendmicro.com/resources/,http://webappsecurity.trendmicro.com/resources/,http://www.trendmicro.com/us/enterprise/cloud-solutions/deep-security/web-applications/index.html#resources--legal,http://www.trendmicro.com/us/enterprise/cloud-solutions/deep-security/web-applications/index.html#resources--legal,http://www.trendmicro.com/us/enterprise/cloud-solutions/deep-security/web-applications/index.html#resources--legal,Grant Thornton,WebTrust,2014.06.30,
Trend Micro,AffirmTrust,,AffirmTrust Networking,29:36:21:02:8B:20:ED:02:F5:66:C5:32:D1:D6:ED:90:9F:45:00:2F,1/29/2010,12/31/2030,2048,SHA-1,Websites,1.3.6.1.4.1.34697.2.2,https://bugzilla.mozilla.org/show_bug.cgi?id=543639,"NSS 3.12.10, Firefox 6.0",https://networking.affirmtrust.com:4431,http://webappsecurity.trendmicro.com/,http://webappsecurity.trendmicro.com/resources/,http://webappsecurity.trendmicro.com/resources/,http://www.trendmicro.com/us/enterprise/cloud-solutions/deep-security/web-applications/index.html#resources--legal,http://www.trendmicro.com/us/enterprise/cloud-solutions/deep-security/web-applications/index.html#resources--legal,http://www.trendmicro.com/us/enterprise/cloud-solutions/deep-security/web-applications/index.html#resources--legal,Grant Thornton,WebTrust,2014.06.30,
"Consorci Administració Oberta de Catalunya (Consorci AOC, CATCert)",Agencia Catalana de Certificacio (NIF Q-0801176-I),Jerarquia Entitats de Certificacio Catalanes,EC-ACC,28:90:3A:63:5B:52:80:FA:E6:77:4C:0B:6D:A7:D6:BA:A6:4A:F2:E8,1/7/2003,1/7/2031,2048,SHA-1,Websites,Not EV,https://bugzilla.mozilla.org/show_bug.cgi?id=295474,"NSS 3.13.2, Firefox 11",https://www.aoc.cat/,http://www.aoc.cat/Inici/SERVEIS/Signatura-electronica-i-seguretat/CATCert,http://www.aoc.cat/content/download/25607/46726/file/politicaGeneralCertificacioAngles.pdf,http://www.aoc.cat/Inici/SERVEIS/Signatura-electronica-i-seguretat/CATCert/Regulacio,https://cert.webtrust.org/SealFile?seal=1647&file=pdf,,,Ernst & Young,WebTrust,2014.03.10,
AOL,America Online Inc.,,America Online Root Certification Authority 1,39:21:C1:15:C1:5D:0E:CA:5C:CB:5B:C4:F0:7D:21:D8:05:0B:56:6A,5/28/2002,11/19/2037,2048,SHA-1,"Websites Email Code",Not EV,legacy,Firefox 1,https://www.gathr.com/,http://pki-info.aol.com/AOL/,http://pki-info.aol.com/AOL/,http://pki-info.aol.com/AOL/,http://pki-info.aol.com/AOL/2013_AOLRoot_Audit_Attestation.pdf,no longer issuing SSL certs,,TUVIT,ETSI TS 102 042,2013.06.11,Root Removal Bug #1083294
AOL,America Online Inc.,,America Online Root Certification Authority 2,85:B5:FF:67:9B:0C:79:96:1F:C8:6E:44:22:00:46:13:DB:17:92:84,5/28/2002,9/29/2037,4096,SHA-1,"Websites Email Code",Not EV,legacy,Firefox 1,Not yet issuing SSL certs.,http://pki-info.aol.com/AOL/,http://pki-info.aol.com/AOL/,http://pki-info.aol.com/AOL/,http://pki-info.aol.com/AOL/2013_AOLRoot_Audit_Attestation.pdf,not issuing SSL certs,,TUVIT,ETSI TS 102 042,2013.06.11,Root Removal Bug #1083294
AS Sertifitseerimiskeskuse (SK),AS Sertifitseerimiskeskus,,Juur-SK,40:9D:4B:D9:17:B5:5C:27:B6:9B:64:CB:98:22:44:0D:CD:09:B8:89,8/30/2001,8/26/2016,2048,SHA-1,"Websites Code",Not EV,https://bugzilla.mozilla.org/show_bug.cgi?id=414520,"NSS 3.12.6, Firefox 3.6.2",https://www.sk.ee,http://www.sk.ee/,http://www.sk.ee/en/repository/CPS,http://www.sk.ee/en/repository/CPS,http://www.sk.ee/en/repository/audit/,http://www.sk.ee/en/repository/audit/,,KPMG,ETSI TS 102 042,2014.01.13,
AS Sertifitseerimiskeskuse (SK),AS Sertifitseerimiskeskus,,EE Certification Centre Root CA,C9:A8:B9:E7:55:80:5E:58:E3:53:77:A7:25:EB:AF:C3:7B:27:CC:D7,10/30/2010,12/17/2030,2048,SHA-1,"Websites Code",Not EV,https://bugzilla.mozilla.org/show_bug.cgi?id=624356,"NSS 3.14, Firefox 18",https://www.openxades.org/docportal/,http://www.sk.ee/,http://www.sk.ee/en/repository/CPS,http://www.sk.ee/en/repository/CPS,http://www.sk.ee/en/repository/audit/,http://www.sk.ee/en/repository/audit/,,KPMG,ETSI TS 102 042,2014.01.13,
Atos,Atos,,Atos TrustedRoot 2011,2B:B1:F5:3E:55:0C:1D:C5:F1:D4:E6:B7:6A:46:4B:55:06:02:AC:21,7/7/2011,12/31/2030,2048,SHA-256,"Websites Email Code",Not EV,https://bugzilla.mozilla.org/show_bug.cgi?id=711366,"NSS 3.16, Firefox 29",https://pki.atos.net:7081/,https://pki.atos.net/TrustedRoot/,https://pki.atos.net/TrustedRoot/,https://pki.atos.net/Download/AtosTrustedCACPSv1.7.pdf,https://bugzilla.mozilla.org/attachment.cgi?id=797173,https://pki.atos.net/Download/ETSI_2013-07-10_English.pdf,,DQS GmbH,ETSI TS 102 042,2013.07.10,
Autoridad de Certificacion Firmaprofesional,,,Autoridad de Certificacion Firmaprofesional CIF A62634068,AE:C5:FB:3F:C8:E1:BF:C4:E5:4F:03:07:5A:9A:E8:00:B7:F7:B6:FA,5/20/2009,12/31/2030,4096,SHA-1,"Websites Email Code",1.3.6.1.4.1.13177.10.1.3.10,https://bugzilla.mozilla.org/show_bug.cgi?id=521439,"NSS 3.12.9, Firefox 4.0",https://publifirma.firmaprofesional.com/,http://www.firmaprofesional.com/,http://www.firmaprofesional.com/cps,http://www.firmaprofesional.com/cps,https://cert.webtrust.org/SealFile?seal=1617&file=pdf,,https://cert.webtrust.org/SealFile?seal=1620&file=pdf,DNB,WebTrust,2013.12.20,
Verizon Business,Baltimore,CyberTrust,Baltimore CyberTrust Root,D4:DE:20:D0:5E:66:FC:53:FE:1A:50:88:2C:78:DB:28:52:CA:E4:74,5/12/2000,5/12/2025,2048,SHA-1,"Websites Email",Not EV,https://bugzilla.mozilla.org/show_bug.cgi?id=430698,Firefox 1,https://baltimore.omniroot.com,http://www.verizon.com/ssl,http://cybertrust.omniroot.com/repository,http://cybertrust.omniroot.com/repository,https://cert.webtrust.org/SealFile?seal=1637&file=pdf,,,Ernst & Young,WebTrust,2013.11.29,
Buypass,Buypass AS-983163327,,Buypass Class 3 CA 1,61:57:3A:11:DF:0E:D8:7E:D5:92:65:22:EA:D0:56:D7:44:B3:23:71,5/9/2005,5/9/2015,2048,SHA-1,Websites,2.16.578.1.26.1.3.3,https://bugzilla.mozilla.org/show_bug.cgi?id=477028,"NSS 3.12.5, Firefox 3.6",https://valid.evident.ca13.ssl.buypass.no/,http://www.buypass.no/,http://www.buypass.com/home/support/ca-documentation-legal,http://www.buypass.com/home/support/ca-documentation-legal,http://www.buypass.no/om-buypass/etsi-102-042/_attachment/27800?_download=true&_ts=145e0059f20,http://www.buypass.no/om-buypass/etsi-102-042/_attachment/27800?_download=true&_ts=145e0059f20,http://www.buypass.no/om-buypass/etsi-102-042/_attachment/27800?_download=true&_ts=145e0059f20,BSI,ETSI TS 102 042,2014.01.31,"PTC-BR stands for Publicly Trusted Certificates – Baseline Requirements. It is one of the “policies” within the ETSI TS 102042 v2.4.1 standard and means that BRG is included in the audit. Same applies to “EV-CP” (EV-certificates). ... ETSI standard, page 13"
Buypass,Buypass AS-983163327,,Buypass Class 2 Root CA,49:0A:75:74:DE:87:0A:47:FE:58:EE:F6:C7:6B:EB:C6:0B:12:40:99,10/26/2010,10/26/2040,4096,SHA-256,Websites,Not EV,https://bugzilla.mozilla.org/show_bug.cgi?id=685128,"NSS 3.13.6, Firefox 16",https://valid.domainplus.ca22.ssl.buypass.no/,http://www.buypass.no/,http://www.buypass.com/home/support/ca-documentation-legal,http://www.buypass.com/home/support/ca-documentation-legal,http://www.buypass.no/om-buypass/etsi-102-042/_attachment/27800?_download=true&_ts=145e0059f20,http://www.buypass.no/om-buypass/etsi-102-042/_attachment/27800?_download=true&_ts=145e0059f20,,BSI,ETSI TS 102 042,2014.01.31,
Buypass,Buypass AS-983163327,,Buypass Class 3 Root CA,DA:FA:F7:FA:66:84:EC:06:8F:14:50:BD:C7:C2:81:A5:BC:A9:64:57,10/26/2010,10/26/2040,4096,SHA-256,Websites,2.16.578.1.26.1.3.3,https://bugzilla.mozilla.org/show_bug.cgi?id=685128,"NSS 3.13.6, Firefox 16",https://valid.evident.ca23.ssl.buypass.no/,http://www.buypass.no/,http://www.buypass.com/home/support/ca-documentation-legal,http://www.buypass.com/home/support/ca-documentation-legal,http://www.buypass.no/om-buypass/etsi-102-042/_attachment/27800?_download=true&_ts=145e0059f20,http://www.buypass.no/om-buypass/etsi-102-042/_attachment/27800?_download=true&_ts=145e0059f20,http://www.buypass.no/om-buypass/etsi-102-042/_attachment/27800?_download=true&_ts=145e0059f20,BSI,ETSI TS 102 042,2014.01.31,
Buypass,Buypass AS-983163327,,Buypass Class 2 CA 1,A0:A1:AB:90:C9:FC:84:7B:3B:12:61:E8:97:7D:5F:D3:22:61:D3:CC,10/13/2006,10/13/2016,2048,SHA-1,Websites,Not EV,https://bugzilla.mozilla.org/show_bug.cgi?id=477028,"NSS 3.12.5, Firefox 3.6",https://valid.domainplus.ca12.ssl.buypass.no/,http://www.buypass.no/,http://www.buypass.com/home/support/ca-documentation-legal,http://www.buypass.com/home/support/ca-documentation-legal,http://www.buypass.no/om-buypass/etsi-102-042/_attachment/27800?_download=true&_ts=145e0059f20,http://www.buypass.no/om-buypass/etsi-102-042/_attachment/27800?_download=true&_ts=145e0059f20,,BSI,ETSI TS 102 042,2014.01.31,
Certinomis,Certinomis,0002 433998903,Certinomis - Autorité Racine,2E:14:DA:EC:28:F0:FA:1E:8E:38:9A:4E:AB:EB:26:C0:0A:D3:83:C3,9/17/2008,9/17/2028,4096,SHA-1,Websites,Not EV,https://bugzilla.mozilla.org/show_bug.cgi?id=545614,"NSS 3.12.11, Firefox 6.0.2",https://w3-test.certinomis.com,http://www.certinomis.com,http://www.certinomis.com/documents-et-liens/nos-politiques,http://www.certinomis.com/documents-et-liens/nos-politiques,http://www.lsti-certification.fr/images/liste_entreprise/Liste%20PSCe.pdf,https://bugzilla.mozilla.org/attachment.cgi?id=8451590,,LSTI,ETSI TS 102 042,2014.06.30,PTC-BR = BR audit criteria
OpenTrust / KEYNECTIS,Certplus,,Class 2 Primary CA,74:20:74:41:72:9C:DD:92:EC:79:31:D8:23:10:8D:C2:81:92:E2:BB,7/7/1999,7/6/2019,2048,SHA-1,"Websites Email",1.3.6.1.4.1.22234.2.5.2.3.1,https://bugzilla.mozilla.org/show_bug.cgi?id=335392,"NSS 3.11.8, Firefox 2",https://www.keynectis.com/en/,http://www.opentrust.com/en/,http://www.opentrust.com/en/certification-policy,http://www.opentrust.com/en/certification-policy,http://www.lsti-certification.fr/images/liste_entreprise/ETSI.pdf,http://www.lsti-certification.fr/images/liste_entreprise/ETSI.pdf,https://www.opentrust.com/ca-certificate-program-opentrust/Ind_Aud_rep_LSTI_S.pdf,LSTI,ETSI TS 102 042,2014.01.23,
certSIGN,certSIGN,certSIGN ROOT CA,certSIGN ROOT CA,FA:B7:EE:36:97:26:62:FB:2D:B0:2A:F6:BF:03:FD:E8:7C:4B:2F:9B,7/4/2006,7/4/2031,2048,SHA-1,"Websites Email Code",Not EV,https://bugzilla.mozilla.org/show_bug.cgi?id=470756,"NSS 3.12.5, Firefox 3.6",https://www.certsign.ro,http://www.certsign.ro/certsign_en/,http://www.certsign.ro/certsign/resurse/documentatie/documente-certsign/politici-si-proceduri,http://www.certsign.ro/certsign/resurse/documentatie/documente-certsign/politici-si-proceduri,https://bug470756.bugzilla.mozilla.org/attachment.cgi?id=8438521,https://bug470756.bugzilla.mozilla.org/attachment.cgi?id=8438521,,Ernst & Young,WebTrust,2014.04.11,
China Internet Network Information Center (CNNIC),China Internet Network Information Center,,China Internet Network Information Center EV Certificates Root,4F:99:AA:93:FB:2B:D1:37:26:A1:99:4A:CE:7F:F0:05:F2:93:5D:1E,8/31/2010,8/31/2030,2048,SHA-1,Websites,1.3.6.1.4.1.29836.1.10,https://bugzilla.mozilla.org/show_bug.cgi?id=607208,"NSS 3.15, Firefox 23",https://evdemo.cnnic.cn/,http://www1.cnnic.cn/index.htm,http://www.cnnic.cn/cps/,http://www.cnnic.cn/cps/,https://cert.webtrust.org/SealFile?seal=1731&file=pdf,http://www.cnnic.cn/jczyfw/fwqzs/fwqzsrzjzz/,https://cert.webtrust.org/SealFile?seal=1730&file=pdf,Ernst & Young,WebTrust,2014.08.01,
Chunghwa Telecom Corporation,"Chunghwa Telecom Co., Ltd.",ePKI Root Certification Authority,ePKI Root Certification Authority,67:65:0D:F1:7E:8E:7E:5B:82:40:A4:F4:56:4B:CF:E2:3D:69:C6:F0,12/20/2004,12/20/2034,4096,SHA-1,"Websites Email Code",Not EV,https://bugzilla.mozilla.org/show_bug.cgi?id=448794,"NSS 3.12.5, Firefox 3.6",https://publicca.hinet.net/,http://www.cht.com.tw,http://epki.com.tw/repository_en.htm,http://epki.com.tw/repository_en.htm,https://cert.webtrust.org/SealFile?seal=695&file=pdf,,,DFK,WebTrust,2013.11.15,
China Internet Network Information Center (CNNIC),CNNIC,,CNNIC ROOT,8B:AF:4C:9B:1D:F0:2A:92:F7:DA:12:8E:B9:1B:AC:F4:98:60:4B:6F,4/16/2007,4/16/2027,2048,SHA-1,Websites,Not EV,https://bugzilla.mozilla.org/show_bug.cgi?id=476766,"NSS 3.12.6, Firefox 3.6.2",https://mail.cnnic.cn/,http://www1.cnnic.cn/index.htm,http://www.cnnic.cn/cps/,http://www.cnnic.cn/cps/,https://cert.webtrust.org/SealFile?seal=1731&file=pdf,http://www.cnnic.cn/jczyfw/fwqzs/fwqzsrzjzz/,,Ernst & Young,WebTrust,2014.08.01,
Comodo,Comodo CA Limited,,Secure Certificate Services,4A:65:D5:F4:1D:EF:39:B8:B8:90:4A:4A:D3:64:81:33:CF:C7:A1:D1,1/1/2004,12/31/2028,2048,SHA-1,"Websites Email Code",Not EV,https://bugzilla.mozilla.org/show_bug.cgi?id=249710,Firefox 1,https://securecertificateservices.comodoca.com/,http://www.comodo.com/,http://www.comodo.com/about/comodo-agreements.php,http://www.comodo.com/about/comodo-agreements.php,https://cert.webtrust.org/SealFile?seal=1743&file=pdf,https://cert.webtrust.org/SealFile?seal=1742&file=pdf,,Ernst & Young,WebTrust,2014.09.10,
Comodo,COMODO CA Limited,,COMODO ECC Certification Authority,9F:74:4E:9F:2B:4D:BA:EC:0F:31:2C:50:B6:56:3B:8E:2D:93:C3:11,3/6/2008,1/18/2038,ECC,ECC,"Websites Email Code",1.3.6.1.4.1.6449.1.2.1.5.1,https://bugzilla.mozilla.org/show_bug.cgi?id=421946,"NSS 3.12.1, Firefox 3.0.2",https://comodoecccertificationauthority-ev.comodoca.com/,http://www.comodo.com/,http://www.comodo.com/about/comodo-agreements.php,http://www.comodo.com/about/comodo-agreements.php,https://cert.webtrust.org/SealFile?seal=1743&file=pdf,https://cert.webtrust.org/SealFile?seal=1742&file=pdf,https://cert.webtrust.org/SealFile?seal=1746&file=pdf,Ernst & Young,WebTrust,2014.09.10,
